Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,73985.0,76908.0,79254.0,78794.0,81465.0,83051.0,84394.0,87716.0,84592.0,84264.0,96689.0,94942.0,95013.0,95006.0,96047.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,4514.0,4460.0,4636.0,4528.0,4496.0,4487.0,4606.0,4897.0,4793.0,4740.0,5167.0,4853.0,5353.0,5604.0,5622.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,764.0,760.0,828.0,766.0,757.0,738.0,795.0,825.0,798.0,798.0,947.0,790.0,987.0,946.0,934.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,0.0,0.0,0.0,156.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,471.0,435.0,428.0,504.0,470.0,442.0,420.0,461.0,473.0,444.0,581.0,479.0,517.0,564.0,506.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,416.0,423.0,388.0,462.0,444.0,436.0,416.0,449.0,501.0,514.0,515.0,469.0,530.0,472.0,507.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,50.0,60.0,52.0,67.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,126.0,112.0,141.0,114.0,128.0,126.0,143.0,126.0,150.0,124.0,119.0,146.0,172.0,212.0,182.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,264.0,248.0,289.0,268.0,277.0,239.0,244.0,296.0,239.0,249.0,205.0,212.0,220.0,239.0,257.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,337.0,337.0,360.0,306.0,308.0,306.0,322.0,348.0,360.0,342.0,369.0,345.0,405.0,382.0,440.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,111.0,115.0,118.0,114.0,105.0,125.0,151.0,155.0,137.0,118.0,108.0,136.0,112.0,136.0,179.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,85.0,89.0,85.0,84.0,86.0,97.0,86.0,79.0,86.0,87.0,82.0,91.0,93.0,101.0,80.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,145.0,136.0,150.0,138.0,121.0,132.0,139.0,136.0,169.0,166.0,160.0,151.0,145.0,177.0,185.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,138.0,153.0,130.0,0.0,0.0,0.0,0.0,0.0,209.0,203.0,230.0,184.0,160.0,211.0,225.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,128.0,121.0,121.0,104.0,110.0,121.0,108.0,123.0,105.0,105.0,117.0,120.0,144.0,188.0,114.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,415.0,427.0,456.0,432.0,487.0,519.0,490.0,570.0,520.0,518.0,555.0,565.0,627.0,539.0,622.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,395.0,400.0,389.0,345.0,516.0,481.0,498.0,542.0,302.0,318.0,343.0,318.0,339.0,311.0,349.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,331.0,308.0,333.0,311.0,300.0,324.0,348.0,346.0,303.0,288.0,326.0,330.0,350.0,479.0,424.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,127.0,125.0,116.0,119.0,109.0,119.0,132.0,120.0,115.0,136.0,116.0,121.0,116.0,180.0,122.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,261.0,271.0,304.0,305.0,278.0,282.0,314.0,321.0,326.0,330.0,341.0,346.0,376.0,415.0,429.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,6804.0,7353.0,7673.0,7541.0,7911.0,8110.0,8186.0,8802.0,8320.0,7896.0,8645.0,8901.0,8354.0,8683.0,9704.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,1179.0,1242.0,1269.0,1312.0,1180.0,1203.0,1216.0,1301.0,1243.0,1247.0,1236.0,1332.0,1736.0,1649.0,1699.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,91.0,86.0,91.0,77.0,103.0,98.0,95.0,126.0,95.0,95.0,106.0,109.0,73.0,109.0,92.0
