Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,14015.0,14568.4,14792.5,15018.7,15277.5,15552.2,15838.9,16121.0,16397.9,16710.6,17045.3,17378.4,17744.2,18128.6,18525.0,18904.5
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,820.1,839.9,846.5,856.5,869.3,883.5,898.1,911.8,924.5,938.4,953.1,965.8,978.5,992.6,1005.9,1019.8
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,132.8,138.7,140.0,141.6,144.5,147.6,149.5,151.4,153.2,155.2,157.8,159.9,162.7,165.5,167.8,170.5
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,82.6,87.3,88.3,89.7,90.9,92.5,94.3,95.9,97.4,99.2,101.1,102.1,103.9,105.8,107.6,109.4
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,80.3,81.2,82.3,83.7,85.3,87.1,88.9,90.6,92.4,94.2,96.1,97.6,99.1,101.1,103.2,105.2
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.9,11.0,11.1,11.1,11.1,11.1
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,23.0,24.5,24.8,25.1,25.3,25.7,26.0,26.3,26.5,26.8,27.0,27.2,27.4,27.7,27.8,28.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,40.9,41.8,42.1,42.5,43.0,43.4,44.0,44.7,45.0,45.3,37.1,37.5,37.7,38.0,38.3,38.7
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,58.9,59.9,60.1,60.7,61.6,62.5,63.3,64.2,65.0,65.8,66.6,67.5,68.2,69.1,69.8,70.4
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,21.9,23.0,23.1,23.3,23.7,24.1,24.4,24.8,25.1,25.4,25.8,26.2,26.5,26.9,27.2,27.5
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,14.1,14.6,14.8,14.9,15.0,15.1,15.4,15.6,15.7,15.9,16.2,16.4,16.7,16.9,17.0,17.2
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,23.8,22.6,22.5,22.7,22.7,22.9,23.4,23.9,24.5,24.9,25.4,25.9,26.3,26.8,27.3,27.9
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.6,36.1,36.6,37.0,37.4,37.8,38.1,38.4
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,19.7,20.1,19.6,19.5,19.6,19.7,19.8,20.0,20.2,20.3,20.4,20.5,20.6,19.9,19.8,19.8
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,88.4,90.6,92.1,93.7,95.6,97.4,99.2,100.8,102.5,104.5,106.4,108.1,109.7,111.5,113.5,115.4
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,95.8,90.5,90.1,90.2,91.0,92.1,93.3,94.4,59.8,60.6,61.4,62.2,62.8,63.6,64.4,65.1
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,52.1,53.3,53.8,54.5,55.1,55.8,56.8,57.6,58.2,58.9,57.1,57.7,57.9,58.4,58.7,59.2
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,20.6,25.9,26.0,26.2,26.5,26.7,27.1,27.3,27.6,27.8,28.1,28.4,28.6,28.9,29.1,29.3
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,65.2,65.9,66.9,68.2,69.5,70.9,72.7,74.3,75.8,77.5,79.1,80.6,81.9,83.6,85.2,86.7
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,1276.6,1345.8,1367.5,1389.4,1415.1,1441.8,1469.3,1496.1,1521.4,1552.3,1583.5,1614.1,1647.6,1683.1,1719.6,1753.3
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,186.0,193.4,196.1,198.7,201.7,205.1,208.3,211.4,214.3,218.2,222.2,226.5,230.9,235.8,242.4,248.3
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,18.4,18.9,19.1,19.4,19.6,19.9,20.1,20.4,20.6,20.9,21.3,21.6,21.9,22.5,22.8,23.2
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,71.0,74.7,76.1,77.5,79.0,80.7,82.2,83.8,85.4,87.3,89.3,91.2,93.4,95.5,97.1,98.2
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,105.4,109.0,110.9,113.1,115.2,117.5,120.2,122.8,125.1,128.0,130.8,133.5,136.8,139.8,142.9,146.2
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,79.9,86.0,87.5,88.9,90.6,92.5,94.3,96.0,97.7,99.6,101.6,103.5,105.6,107.8,110.0,112.2
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,28.5,30.8,31.2,31.7,32.4,33.0,33.7,34.3,34.9,35.6,36.3,36.9,37.7,38.5,39.3,40.3
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,57.9,62.2,63.0,63.9,65.0,66.3,67.5,68.5,69.7,70.9,72.2,73.6,74.8,76.3,78.0,79.4
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,76.9,81.0,82.3,83.5,84.8,86.3,87.8,89.4,90.8,92.5,94.1,95.7,97.6,99.5,101.4,103.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,98.2,101.8,103.6,105.2,107.2,109.2,111.4,113.6,115.5,117.9,120.2,122.5,124.9,127.5,130.2,132.8
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,24.9,25.0,25.4,25.9,26.5,27.0,27.5,28.0,28.4,28.9,29.6,30.2,30.9,31.5,32.0,32.2
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,86.6,92.9,94.3,95.8,97.6,99.1,100.9,102.7,104.3,106.3,108.2,110.1,112.0,114.0,116.1,118.1
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,129.3,138.8,141.0,143.4,146.3,149.3,152.3,155.1,158.0,161.4,164.8,168.1,172.0,175.8,179.6,183.2
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,70.0,74.6,75.7,76.9,78.3,79.6,81.2,82.7,84.3,85.9,87.7,89.3,91.2,93.2,95.1,96.9
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,120.4,127.0,129.2,131.4,134.2,137.0,139.9,142.7,145.4,148.7,151.9,155.0,158.2,162.1,165.8,169.3
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,77.7,81.8,83.3,84.7,86.4,88.1,89.8,91.7,93.3,95.4,97.4,99.3,101.4,103.5,105.8,107.8
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,45.5,47.9,48.8,49.4,50.3,51.2,52.2,53.0,53.7,54.8,55.9,57.1,58.3,59.8,61.1,62.2
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,802.9,837.6,849.7,861.6,876.0,891.3,906.9,921.7,935.6,948.3,963.5,975.2,990.4,1007.3,1024.9,1041.6
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,135.7,131.6,132.7,133.2,134.1,134.8,135.7,136.6,137.0,137.9,139.2,139.7,140.9,143.5,146.1,148.8
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,26.8,27.3,27.6,27.9,28.3,28.5,28.8,29.0,29.2,29.5,29.7,30.0,30.3,31.0,31.5,31.9
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,40.2,42.7,43.2,43.9,44.7,45.6,46.4,47.3,48.0,48.8,49.5,50.1,50.8,51.5,52.2,53.0
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,63.7,69.8,71.1,72.5,74.1,75.7,77.1,78.7,80.3,81.9,83.4,84.7,86.3,87.6,89.4,91.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,57.9,59.9,60.9,61.8,62.9,64.1,65.4,66.5,67.6,68.9,70.1,71.0,72.3,73.4,74.9,76.2
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,125.4,136.2,138.2,140.1,142.6,145.3,148.0,150.5,153.1,152.6,155.0,156.9,159.3,162.2,165.0,167.5
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,30.7,32.0,32.5,33.0,33.6,34.4,35.1,35.9,36.8,37.7,38.6,39.3,40.3,41.0,42.1,42.9
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,65.1,69.4,70.5,71.3,72.4,73.9,75.5,76.9,78.1,79.6,80.9,81.6,82.7,84.0,85.0,86.4
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,7.5,7.7,7.7,7.8,8.0,8.2,8.4,8.6,8.8,8.9,9.1,9.2,9.5,9.7,9.9,10.1
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,49.6,51.5,52.4,53.4,54.4,55.6,56.8,57.9,58.9,60.1,61.3,62.3,63.5,64.6,65.8,67.0
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,57.9,61.0,61.8,62.9,64.1,65.2,66.4,67.7,68.9,70.2,71.5,72.8,74.1,75.5,76.8,77.9
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,69.8,72.4,73.6,74.9,76.5,78.2,79.8,81.2,82.7,84.5,86.0,87.4,88.8,90.3,92.1,93.8
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,72.6,76.1,77.5,78.9,80.3,81.8,83.5,84.9,86.2,87.7,89.2,90.2,91.6,93.0,94.1,95.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,558.8,584.0,594.1,603.9,615.2,627.2,640.7,653.7,666.1,680.3,695.6,710.4,727.6,744.1,760.6,776.1
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,75.9,78.7,79.5,80.4,81.4,82.4,83.7,84.8,85.9,87.2,88.7,90.2,92.6,95.7,97.8,99.7
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,19.4,20.3,20.7,20.9,21.2,21.5,21.8,22.2,22.4,22.8,23.2,23.5,24.0,24.4,24.7,25.2
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,62.9,64.8,66.0,67.3,68.8,70.3,72.2,74.2,75.6,77.4,79.1,81.1,83.2,85.1,87.1,89.0
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,69.2,72.4,73.6,74.8,76.2,77.8,79.4,80.9,82.4,84.1,86.1,87.9,90.1,92.2,94.2,96.2
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,85.9,89.1,91.1,93.2,95.2,97.4,99.8,102.2,104.9,108.0,111.3,114.3,117.3,119.7,123.1,126.1
