Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,4665.0,3232.0,4495.0,4023.0,3666.0,2466.0,1821.0,2173.0,2850.0,2543.0,1105.0,1875.0,2291.0,2955.0,2229.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,645.0,609.0,513.0,481.0,515.0,434.0,250.0,258.0,211.0,220.0,136.0,180.0,158.0,212.0,182.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,174.0,199.0,222.0,196.0,167.0,146.0,83.0,81.0,49.0,47.0,29.0,41.0,25.0,21.0,25.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,42.0,110.0,31.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,6.0,4.0,2.0,12.0,8.0,1.0,3.0,0.0,3.0,6.0,0.0,22.0,3.0,12.0,15.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,27.0,24.0,24.0,37.0,29.0,23.0,9.0,10.0,6.0,8.0,5.0,0.0,5.0,7.0,0.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,7.0,3.0,8.0,3.0,1.0,0.0,5.0,8.0,13.0,3.0,17.0,1.0,1.0,6.0,1.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,17.0,26.0,13.0,7.0,11.0,15.0,2.0,2.0,4.0,8.0,2.0,2.0,1.0,7.0,10.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,1.0,2.0,32.0,33.0,24.0,17.0,46.0,34.0,30.0,27.0,20.0,32.0,45.0,30.0,23.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,3.0,3.0,6.0,6.0,12.0,8.0,0.0,2.0,3.0,5.0,1.0,1.0,5.0,6.0,1.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,13.0,16.0,19.0,16.0,20.0,22.0,8.0,8.0,7.0,3.0,1.0,4.0,4.0,3.0,6.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,12.0,9.0,15.0,10.0,20.0,10.0,6.0,6.0,7.0,9.0,7.0,9.0,11.0,22.0,11.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,32.0,9.0,21.0,17.0,15.0,12.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,210.0,71.0,16.0,14.0,20.0,23.0,7.0,4.0,5.0,14.0,3.0,12.0,8.0,24.0,16.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,24.0,34.0,27.0,26.0,32.0,13.0,14.0,12.0,18.0,15.0,4.0,8.0,13.0,24.0,10.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,46.0,40.0,47.0,36.0,107.0,96.0,40.0,68.0,24.0,20.0,13.0,11.0,14.0,17.0,31.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,32.0,27.0,21.0,21.0,12.0,23.0,14.0,13.0,10.0,16.0,21.0,12.0,3.0,3.0,2.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,19.0,20.0,23.0,20.0,16.0,16.0,3.0,3.0,0.0,4.0,3.0,2.0,3.0,15.0,13.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,12.0,21.0,7.0,17.0,36.0,21.0,10.0,7.0,10.0,3.0,0.0,2.0,0.0,0.0,0.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,233.0,97.0,79.0,27.0,15.0,19.0,16.0,10.0,31.0,22.0,16.0,16.0,2.0,4.0,4.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,83.0,79.0,71.0,20.0,11.0,12.0,12.0,6.0,13.0,14.0,15.0,3.0,0.0,0.0,1.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,13.0,5.0,0.0,4.0,0.0,0.0,0.0
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0
