Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,5390.0,5804.0,5466.0,7501.0,9177.0,10167.0,10735.0,12311.0,12627.0,11914.0,10898.0,15075.0,18647.0,19402.0,17148.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,277.0,186.0,234.0,291.0,377.0,406.0,409.0,477.0,517.0,453.0,400.0,563.0,860.0,755.0,729.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,25.0,18.0,24.0,31.0,46.0,58.0,75.0,54.0,69.0,74.0,53.0,87.0,130.0,89.0,121.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,37.0,21.0,33.0,34.0,49.0,61.0,42.0,55.0,83.0,44.0,44.0,51.0,105.0,96.0,76.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,11.0,19.0,14.0,12.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,3.0,5.0,8.0,12.0,20.0,21.0,20.0,17.0,12.0,15.0,14.0,22.0,33.0,34.0,25.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,16.0,3.0,6.0,19.0,24.0,23.0,31.0,32.0,28.0,30.0,19.0,27.0,32.0,51.0,25.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,27.0,12.0,11.0,15.0,24.0,25.0,23.0,27.0,31.0,26.0,24.0,43.0,52.0,42.0,32.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,12.0,15.0,19.0,13.0,25.0,21.0,18.0,20.0,21.0,22.0,24.0,21.0,41.0,34.0,25.0
