Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,328908.0,323440.0,324698.0,352984.0,373277.0,382666.0,377717.0,372414.0,403304.0,423262.0,436351.0,468484.0,482368.0,498245.0,479552.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,19536.0,18471.0,19733.0,20096.0,21320.0,21387.0,20436.0,19387.0,20481.0,21245.0,20222.0,20934.0,22028.0,22754.0,21672.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,3169.0,3177.0,3008.0,3162.0,3258.0,3369.0,2985.0,2831.0,2891.0,3089.0,3048.0,3260.0,3566.0,3632.0,3488.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,1832.0,1689.0,2074.0,2013.0,2312.0,2434.0,2194.0,2098.0,2361.0,2542.0,2347.0,2596.0,2658.0,2610.0,2541.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,2060.0,1961.0,2124.0,2107.0,2395.0,2336.0,2301.0,2221.0,2414.0,2521.0,2325.0,2154.0,2605.0,2707.0,2593.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203.0,189.0,172.0,206.0,182.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,615.0,546.0,600.0,531.0,619.0,571.0,579.0,478.0,535.0,518.0,507.0,567.0,508.0,527.0,529.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,941.0,886.0,977.0,1010.0,1032.0,986.0,945.0,883.0,810.0,938.0,790.0,774.0,688.0,738.0,747.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,1412.0,1384.0,1459.0,1420.0,1533.0,1337.0,1393.0,1335.0,1300.0,1387.0,1317.0,1467.0,1452.0,1497.0,1375.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,497.0,415.0,479.0,539.0,602.0,567.0,578.0,491.0,538.0,569.0,605.0,595.0,560.0,607.0,545.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,317.0,302.0,299.0,316.0,359.0,336.0,331.0,267.0,298.0,358.0,346.0,343.0,338.0,320.0,331.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,548.0,476.0,559.0,569.0,563.0,605.0,622.0,626.0,566.0,640.0,551.0,649.0,678.0,704.0,631.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,520.0,521.0,539.0,530.0,0.0,0.0,0.0,0.0,701.0,735.0,666.0,695.0,738.0,745.0,698.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,492.0,475.0,484.0,466.0,468.0,435.0,439.0,403.0,370.0,368.0,323.0,384.0,351.0,360.0,339.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,2079.0,1971.0,2181.0,2351.0,2357.0,2374.0,2268.0,2292.0,2545.0,2530.0,2416.0,2346.0,2550.0,2631.0,2655.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,1612.0,1458.0,1454.0,1557.0,2155.0,2123.0,1971.0,1866.0,1246.0,1300.0,1248.0,1357.0,1419.0,1433.0,1351.0
