Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,138411.0,143253.0,145988.0,145672.0,149761.0,152035.0,154791.0,160723.0,154913.0,154570.0,175625.0,174541.0,172068.0,172757.0,174413.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,8342.0,8184.0,8208.0,8134.0,8157.0,8094.0,8396.0,8661.0,8602.0,8461.0,9164.0,8756.0,9585.0,10092.0,10184.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,1358.0,1337.0,1427.0,1341.0,1370.0,1335.0,1425.0,1451.0,1386.0,1390.0,1629.0,1412.0,1708.0,1662.0,1687.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,0.0,0.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,840.0,816.0,752.0,876.0,809.0,813.0,791.0,854.0,878.0,851.0,982.0,891.0,977.0,1056.0,958.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,770.0,780.0,744.0,845.0,833.0,762.0,791.0,861.0,862.0,881.0,946.0,903.0,982.0,902.0,928.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.0,86.0,105.0,87.0,124.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,241.0,219.0,247.0,222.0,239.0,230.0,251.0,240.0,274.0,227.0,247.0,249.0,308.0,395.0,319.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,490.0,456.0,490.0,451.0,477.0,425.0,458.0,490.0,462.0,475.0,368.0,375.0,394.0,402.0,471.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,620.0,610.0,592.0,586.0,569.0,566.0,581.0,600.0,662.0,592.0,652.0,636.0,705.0,666.0,768.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,218.0,205.0,209.0,210.0,197.0,210.0,253.0,256.0,229.0,221.0,203.0,224.0,218.0,244.0,329.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,151.0,164.0,145.0,139.0,160.0,160.0,152.0,155.0,159.0,152.0,154.0,158.0,167.0,192.0,151.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,258.0,232.0,260.0,229.0,209.0,238.0,253.0,230.0,296.0,278.0,301.0,269.0,259.0,329.0,333.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,255.0,270.0,234.0,0.0,0.0,0.0,0.0,0.0,356.0,368.0,381.0,350.0,321.0,381.0,389.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,240.0,228.0,225.0,191.0,190.0,210.0,215.0,207.0,204.0,175.0,219.0,211.0,257.0,330.0,210.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,811.0,815.0,828.0,819.0,885.0,919.0,878.0,988.0,916.0,931.0,987.0,1018.0,1064.0,975.0,1139.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,730.0,712.0,723.0,663.0,943.0,897.0,953.0,911.0,563.0,556.0,586.0,549.0,600.0,557.0,634.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,595.0,576.0,581.0,541.0,548.0,577.0,604.0,594.0,557.0,524.0,577.0,565.0,624.0,833.0,740.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,241.0,238.0,207.0,206.0,217.0,215.0,217.0,214.0,198.0,244.0,217.0,197.0,226.0,312.0,221.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,524.0,526.0,544.0,564.0,511.0,537.0,574.0,610.0,600.0,596.0,628.0,663.0,670.0,769.0,783.0
