Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,12404.0,12799.0,12413.0,16524.0,19634.0,19480.0,18605.0,19618.0,19699.0,19475.0,17335.0,24274.0,30086.0,29796.0,27987.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,593.0,492.0,525.0,691.0,836.0,728.0,666.0,832.0,827.0,790.0,628.0,904.0,1207.0,1178.0,1026.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,231.0,164.0,240.0,273.0,318.0,288.0,240.0,291.0,331.0,309.0,226.0,304.0,444.0,390.0,341.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,14.0,23.0,17.0,20.0,32.0,31.0,40.0,39.0,37.0,35.0,31.0,52.0,55.0,52.0,67.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,52.0,22.0,23.0,45.0,47.0,48.0,37.0,56.0,59.0,52.0,46.0,40.0,87.0,106.0,72.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,1.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,9.0,6.0,7.0,7.0,19.0,7.0,13.0,15.0,11.0,9.0,9.0,13.0,17.0,20.0,22.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,19.0,11.0,8.0,30.0,27.0,27.0,22.0,33.0,24.0,22.0,15.0,23.0,36.0,27.0,37.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,57.0,38.0,32.0,47.0,75.0,48.0,52.0,89.0,77.0,74.0,55.0,85.0,117.0,129.0,103.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,6.0,7.0,6.0,15.0,15.0,9.0,4.0,18.0,12.0,16.0,10.0,12.0,23.0,22.0,16.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,11.0,8.0,5.0,14.0,12.0,17.0,6.0,17.0,10.0,16.0,5.0,12.0,17.0,16.0,6.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,7.0,12.0,10.0,7.0,11.0,9.0,7.0,11.0,11.0,5.0,7.0,11.0,10.0,10.0,8.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,36.0,40.0,54.0,54.0,0.0,0.0,0.0,0.0,57.0,52.0,51.0,69.0,82.0,63.0,44.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,10.0,20.0,8.0,17.0,18.0,19.0,18.0,10.0,10.0,12.0,10.0,12.0,24.0,20.0,18.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,43.0,22.0,14.0,29.0,36.0,40.0,50.0,45.0,49.0,56.0,47.0,73.0,71.0,80.0,78.0
