Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,14425.9,14420.0,15143.2,15370.1,15555.2,15748.0,15963.9,16250.8,16532.7,16806.7,17144.1,17510.4,17935.7,18370.9,18771.1,19139.4
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,820.3,830.0,839.6,850.5,862.0,873.0,883.2,894.7,905.5,917.7,930.5,942.0,954.2,967.3,978.2,990.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,271.5,278.1,286.4,289.0,295.2,300.7,303.7,307.4,310.9,314.9,319.6,323.8,329.0,334.6,339.2,344.7
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,48.6,49.0,46.9,47.3,47.7,48.4,49.0,49.7,50.3,51.1,51.9,52.4,53.1,53.9,54.6,55.3
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,62.2,63.0,60.3,61.0,61.9,62.8,63.8,64.8,65.9,66.9,67.9,68.8,69.8,71.0,72.3,73.5
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.4,5.4,5.5,5.6,5.6
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,13.8,13.9,14.6,14.7,14.8,15.0,15.1,15.4,15.5,15.8,16.0,16.2,16.3,16.4,16.4,16.5
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,30.9,31.1,31.8,32.2,32.5,32.7,33.1,33.6,33.9,34.3,29.2,29.6,29.8,30.0,30.3,30.5
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,73.7,74.2,74.3,74.8,75.8,76.9,77.9,78.9,80.0,80.9,82.0,83.0,83.9,85.0,85.9,86.6
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,11.5,11.5,11.4,11.4,11.5,11.6,11.7,12.0,12.2,12.4,12.6,12.9,13.1,13.4,13.7,13.8
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,12.9,13.0,12.8,12.8,12.9,13.0,13.2,13.4,13.5,13.7,13.9,14.1,14.6,14.8,14.9,15.1
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,8.9,8.9,9.6,9.7,9.6,9.6,9.7,9.9,10.0,10.2,10.4,10.4,10.6,10.7,10.9,11.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,0.0,47.6,0.0,0.0,0.0,0.0,0.0,0.0,51.7,52.2,52.9,53.5,54.1,54.6,54.8,55.1
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,16.6,16.7,16.4,16.3,16.3,16.3,16.4,16.5,16.6,16.7,16.9,16.9,17.1,16.8,16.7,16.8
