Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,44.2,45.1,46.1,47.0,47.9,48.8,49.6,50.4,51.2,52.1,53.2,54.3,55.4,56.4,57.1,57.6
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,95.1,97.2,105.0,106.8,108.8,110.8,113.6,116.0,118.1,120.4,123.0,125.2,127.4,129.6,132.0,134.2
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,178.8,182.3,192.7,196.3,200.2,204.7,209.2,213.5,218.0,222.5,227.1,230.6,235.3,240.2,245.5,250.9
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,26.4,27.4,30.0,30.8,31.5,32.1,33.8,34.4,35.0,35.6,36.3,36.8,37.9,38.9,40.1,41.1
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,158.6,161.7,170.8,173.7,177.0,180.7,184.4,187.7,190.9,194.8,198.9,202.9,207.4,212.3,217.2,221.9
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,99.9,102.0,102.6,104.7,107.1,109.5,112.2,114.7,116.8,119.0,121.3,123.9,126.8,129.6,132.5,135.1
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,55.7,56.6,55.3,56.0,56.9,58.0,59.2,60.1,60.9,62.2,63.6,64.6,65.8,67.5,69.0,70.3
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,990.1,1009.0,1058.8,1062.6,1083.5,1107.0,1130.2,1151.5,1171.6,1193.4,1214.4,1231.7,1251.0,1269.2,1290.2,1311.2
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,23.0,23.2,23.7,23.7,23.9,24.1,24.1,24.4,24.4,24.6,24.8,24.9,24.9,24.9,25.0,25.4
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,47.4,48.2,52.0,52.9,54.1,55.5,56.9,58.3,59.3,60.6,61.8,62.5,63.3,64.1,64.9,66.0
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,102.5,105.1,108.7,110.9,113.3,115.8,118.2,120.6,123.3,125.7,128.2,130.5,132.9,134.9,137.7,140.3
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,92.7,94.3,98.6,98.3,100.3,102.5,104.6,106.5,108.2,110.2,112.3,113.9,115.9,117.6,119.9,122.0
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,182.6,185.6,194.2,190.3,194.3,198.7,202.6,206.4,209.5,213.0,216.3,219.0,221.8,225.2,228.9,232.4
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,61.1,62.3,65.7,62.1,63.2,64.7,66.2,67.5,69.1,70.8,72.5,73.7,75.2,76.5,78.2,79.8
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,80.6,82.2,88.1,89.4,90.8,92.7,94.9,96.5,98.2,99.9,101.3,102.0,103.3,104.6,105.8,107.3
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,4.6,4.7,5.3,6.6,6.8,7.0,7.2,7.4,7.6,7.7,7.8,7.9,8.2,8.3,8.5,8.7
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,87.3,89.0,94.0,93.5,95.3,97.2,99.2,101.0,102.8,104.9,106.9,108.8,110.6,112.4,114.5,116.5
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,86.6,88.3,90.7,92.5,94.3,96.2,98.2,100.1,102.0,104.0,105.9,108.0,109.9,111.7,113.6,115.2
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,110.5,112.7,120.3,122.5,124.9,127.7,130.5,133.0,135.5,138.2,140.5,142.7,145.1,147.3,149.8,152.5
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,111.2,113.4,117.5,119.9,122.3,124.9,127.6,129.8,131.7,133.8,136.1,137.8,139.9,141.7,143.4,145.1
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,590.0,601.7,619.4,630.9,645.4,660.5,675.3,689.2,702.8,717.9,734.1,750.5,768.1,783.5,800.1,814.4
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,24.8,25.4,26.1,26.5,27.2,27.8,28.3,28.8,29.2,29.7,30.2,30.5,31.0,31.5,31.9,32.5
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,91.0,92.9,95.2,96.9,99.3,101.7,104.4,106.7,109.0,111.3,113.7,116.3,119.0,121.3,123.7,126.1
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,87.3,89.0,94.3,95.8,97.8,100.0,102.1,104.1,106.2,108.4,110.9,113.5,116.4,119.1,121.8,124.4
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,98.1,101.1,106.5,109.5,112.5,115.4,118.2,121.3,124.5,128.3,132.5,136.8,140.5,142.6,146.4,149.7
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,31.1,31.6,32.3,33.0,33.7,34.5,35.1,35.7,36.3,37.0,37.7,38.3,39.1,39.7,40.5,41.0
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,82.1,83.7,84.0,85.4,87.0,88.7,90.6,92.5,82.2,84.0,85.9,87.6,89.8,92.1,94.3,95.1
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,17.9,18.4,20.6,20.9,21.6,22.4,23.1,23.7,36.3,37.1,38.1,39.3,40.3,41.4,42.3,43.2
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,19.9,20.0,19.4,19.8,20.3,20.8,21.2,21.6,22.0,22.4,22.8,23.2,23.6,24.0,24.4,24.8
