Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,64426.0,66345.0,66734.0,66878.0,68296.0,68984.0,70397.0,73007.0,70321.0,70306.0,78936.0,79599.0,77055.0,77751.0,78366.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,3828.0,3724.0,3572.0,3606.0,3661.0,3607.0,3790.0,3764.0,3809.0,3721.0,3997.0,3903.0,4232.0,4488.0,4562.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,594.0,577.0,599.0,575.0,613.0,597.0,630.0,626.0,588.0,592.0,682.0,622.0,721.0,716.0,753.0
1735411,Taxiatosh sh.,Тахиаташский город,Taxiatosh city,Тахиатош ш.,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,369.0,381.0,324.0,372.0,339.0,371.0,371.0,393.0,405.0,407.0,401.0,412.0,460.0,492.0,452.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,354.0,357.0,356.0,383.0,389.0,326.0,375.0,412.0,361.0,367.0,431.0,434.0,452.0,430.0,421.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,36.0,45.0,35.0,57.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,115.0,107.0,106.0,108.0,111.0,104.0,108.0,114.0,124.0,103.0,128.0,103.0,136.0,183.0,137.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,226.0,208.0,201.0,183.0,200.0,186.0,214.0,194.0,223.0,226.0,163.0,163.0,174.0,163.0,214.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,283.0,273.0,232.0,280.0,261.0,260.0,259.0,252.0,302.0,250.0,283.0,291.0,300.0,284.0,328.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,107.0,90.0,91.0,96.0,92.0,85.0,102.0,101.0,92.0,103.0,95.0,88.0,106.0,108.0,150.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,66.0,75.0,60.0,55.0,74.0,63.0,66.0,76.0,73.0,65.0,72.0,67.0,74.0,91.0,71.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,113.0,96.0,110.0,91.0,88.0,106.0,114.0,94.0,127.0,112.0,141.0,118.0,114.0,152.0,148.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,117.0,117.0,104.0,0.0,0.0,0.0,0.0,0.0,147.0,165.0,151.0,166.0,161.0,170.0,164.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,112.0,107.0,104.0,87.0,80.0,89.0,107.0,84.0,99.0,70.0,102.0,91.0,113.0,142.0,96.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,396.0,388.0,372.0,387.0,398.0,400.0,388.0,418.0,396.0,413.0,432.0,453.0,437.0,436.0,517.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,335.0,312.0,334.0,318.0,427.0,416.0,455.0,369.0,261.0,238.0,243.0,231.0,261.0,246.0,285.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,264.0,268.0,248.0,230.0,248.0,253.0,256.0,248.0,254.0,236.0,251.0,235.0,274.0,354.0,316.0
1735243,Shumanay tumani,Шуманайский район,Shumanai district,Шуманай тумани,114.0,113.0,91.0,87.0,108.0,96.0,85.0,94.0,83.0,108.0,101.0,76.0,110.0,132.0,99.0
1735250,Ellikkala tumani,Элликкалинский район,Ellikkala district,Елликкала тумани,263.0,255.0,240.0,259.0,233.0,255.0,260.0,289.0,274.0,266.0,287.0,317.0,294.0,354.0,354.0
1703,Andijon viloyati,Андижанская область,Andijan region,Aндижон вилояти,6058.0,6580.0,6487.0,6647.0,6608.0,6750.0,6898.0,7320.0,7057.0,6760.0,7152.0,7508.0,7072.0,7194.0,8111.0
1703401,Andijon shahri,Город Андижан,Andijan city,Aндижон шаҳри,1049.0,1087.0,1131.0,1128.0,1023.0,1092.0,1047.0,1129.0,1103.0,1102.0,1186.0,1229.0,1475.0,1462.0,1460.0
1703408,Xonobod shahri,Город Ханабад,Khanabadcity,Хонобод шаҳри,75.0,89.0,81.0,88.0,95.0,76.0,70.0,85.0,79.0,87.0,102.0,104.0,67.0,94.0,109.0
1703202,Oltinko‘l tumani,Алтынкульский район,Altynkul  district,Олтинкўл тумани,340.0,337.0,350.0,340.0,344.0,402.0,376.0,394.0,392.0,366.0,401.0,433.0,375.0,354.0,429.0
1703203,Andijon tumani,Андижанский район,Andijan district,Aндижон тумани,498.0,525.0,518.0,545.0,567.0,538.0,592.0,614.0,593.0,548.0,674.0,654.0,574.0,606.0,767.0
1703206,Baliqchi tumani,Балыкчинский район,Balykchi district,Балиқчи тумани,368.0,394.0,385.0,444.0,401.0,444.0,441.0,464.0,419.0,397.0,408.0,446.0,431.0,428.0,427.0
1703209,Bo‘ston tumani,Бустонский район,Bustan district,Бўстон тумани,126.0,129.0,124.0,109.0,127.0,147.0,148.0,160.0,155.0,152.0,151.0,167.0,194.0,147.0,199.0
1703210,Buloqboshi tumani,Булакбашинский район,Bulakbashi district,Булоқбоши тумани,245.0,278.0,307.0,274.0,299.0,291.0,323.0,296.0,307.0,280.0,339.0,296.0,235.0,300.0,394.0
1703211,Jalaquduq tumani,Жалакудукский район,Jalаquduk district,Жалақудуқ тумани,367.0,375.0,376.0,435.0,419.0,408.0,443.0,431.0,407.0,401.0,419.0,431.0,363.0,441.0,491.0
1703214,Izboskan tumani,Избасканский район,Izbaskan district,Избоскан тумани,484.0,485.0,474.0,512.0,550.0,569.0,535.0,609.0,538.0,539.0,536.0,661.0,530.0,535.0,575.0
1703217,Ulug‘nor tumani,Улугноpский район,Ulugnor district,Улуғнор тумани,71.0,102.0,75.0,88.0,97.0,102.0,108.0,97.0,117.0,98.0,116.0,118.0,115.0,100.0,111.0
1703220,Qo‘rg‘ontepa tumani,Кургантепинский район,Kurgantepa district,Қўрғонтепа тумани,386.0,444.0,425.0,473.0,480.0,446.0,446.0,486.0,477.0,407.0,421.0,476.0,363.0,427.0,480.0
1703224,Asaka tumani,Асакинский район,Asaka district,Aсака тумани,575.0,702.0,695.0,654.0,656.0,715.0,714.0,761.0,746.0,720.0,754.0,762.0,581.0,673.0,843.0
1703227,Marxamat tumani,Мархаматский район,Markhamat district,Мархамат тумани,318.0,374.0,362.0,363.0,339.0,359.0,387.0,442.0,406.0,386.0,418.0,398.0,410.0,365.0,444.0
1703230,Shaxrixon tumani,Шахриханский район,Shakhrikhan district,Шахрихон тумани,551.0,607.0,542.0,550.0,572.0,552.0,606.0,631.0,624.0,619.0,583.0,635.0,608.0,632.0,667.0
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,371.0,414.0,407.0,397.0,401.0,370.0,401.0,441.0,419.0,403.0,407.0,416.0,494.0,387.0,453.0
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,234.0,238.0,235.0,247.0,238.0,239.0,261.0,280.0,275.0,255.0,237.0,282.0,257.0,243.0,262.0
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,3454.0,3480.0,3553.0,3628.0,3615.0,3603.0,3676.0,3806.0,3678.0,3902.0,4526.0,4509.0,4091.0,3951.0,4355.0
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,652.0,603.0,608.0,624.0,620.0,601.0,609.0,643.0,642.0,645.0,958.0,804.0,714.0,691.0,728.0
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,144.0,161.0,151.0,146.0,140.0,144.0,153.0,148.0,147.0,149.0,197.0,186.0,168.0,163.0,157.0
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,177.0,183.0,187.0,198.0,168.0,213.0,184.0,194.0,162.0,233.0,213.0,233.0,190.0,221.0,228.0
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,252.0,271.0,271.0,271.0,305.0,268.0,270.0,294.0,274.0,322.0,347.0,363.0,309.0,275.0,364.0
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,239.0,240.0,259.0,240.0,264.0,249.0,251.0,249.0,276.0,249.0,303.0,333.0,290.0,252.0,313.0
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,532.0,598.0,607.0,606.0,565.0,601.0,616.0,638.0,620.0,602.0,690.0,743.0,665.0,611.0,732.0
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,131.0,128.0,143.0,152.0,158.0,146.0,155.0,166.0,142.0,162.0,191.0,210.0,113.0,151.0,216.0
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,288.0,277.0,295.0,311.0,342.0,318.0,308.0,320.0,302.0,355.0,343.0,378.0,368.0,354.0,351.0
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,21.0,20.0,17.0,25.0,19.0,28.0,28.0,21.0,16.0,19.0,22.0,16.0,36.0,27.0,32.0
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,200.0,195.0,180.0,173.0,181.0,190.0,200.0,214.0,206.0,231.0,228.0,223.0,234.0,249.0,249.0
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,219.0,193.0,235.0,247.0,241.0,220.0,263.0,229.0,233.0,229.0,305.0,291.0,275.0,245.0,240.0
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,292.0,299.0,274.0,316.0,289.0,290.0,292.0,324.0,313.0,348.0,344.0,359.0,384.0,342.0,337.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,307.0,312.0,326.0,319.0,323.0,335.0,347.0,366.0,345.0,358.0,385.0,370.0,345.0,370.0,408.0
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,1969.0,2061.0,2117.0,2219.0,2256.0,2386.0,2346.0,2487.0,2417.0,2431.0,2590.0,2620.0,2858.0,2991.0,2719.0
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,267.0,259.0,314.0,270.0,288.0,278.0,292.0,342.0,310.0,300.0,373.0,370.0,342.0,374.0,385.0
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,43.0,41.0,45.0,55.0,58.0,52.0,61.0,50.0,59.0,56.0,63.0,56.0,69.0,88.0,68.0
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,256.0,272.0,258.0,263.0,289.0,267.0,305.0,314.0,288.0,325.0,307.0,341.0,332.0,365.0,332.0
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,281.0,298.0,307.0,306.0,306.0,344.0,329.0,331.0,316.0,331.0,354.0,340.0,395.0,374.0,392.0
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,313.0,328.0,343.0,369.0,344.0,398.0,342.0,396.0,379.0,418.0,418.0,409.0,379.0,535.0,393.0
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,74.0,75.0,83.0,89.0,66.0,81.0,92.0,94.0,109.0,97.0,93.0,113.0,111.0,121.0,96.0
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,265.0,251.0,268.0,343.0,342.0,331.0,337.0,322.0,301.0,294.0,307.0,329.0,431.0,375.0,323.0
