Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1703232,Paxtaobod tumani,Пахтаабадский район,Pakhtaabad district,Пахтаобод тумани,84.4,86.0,87.8,89.6,91.3,92.6,94.3,96.2,98.5,100.7,102.9,104.9
1703236,Xo‘jaobod tumani,Ходжаабадский район,Khojaabad district,Хўжаобод тумани,48.5,49.1,49.9,50.6,51.4,52.3,53.6,54.6,55.8,57.4,58.9,60.1
1706,Buxoro viloyati,Бухарская область,Bukhara region,Бухоро вилояти,880.4,894.1,908.3,921.8,934.6,946.5,960.4,971.9,986.4,1002.4,1019.1,1035.4
1706401,Buxoro shahri,Город Бухара,Bukhara city,Бухоро шаҳри,138.4,138.7,139.0,139.4,139.4,139.9,141.0,141.5,142.9,145.7,148.4,151.4
1706403,Kogon shahri,Город Каган,Kagan city,Когон шаҳри,30.3,30.4,30.7,30.8,31.0,31.2,31.4,31.5,32.0,32.7,33.2,33.6
1706204,Olot tumani,Алатский район,Alat district,Олот тумани,44.9,45.6,46.4,47.1,47.7,48.6,49.4,50.0,50.6,51.3,52.1,52.8
1706207,Buxoro tumani,Бухарский район,Bukhara district,Бухоро тумани,72.9,74.4,76.1,77.7,79.6,81.2,82.8,84.2,85.9,87.3,89.0,90.7
1706212,Vobkent tumani,Вабкентский район,Vobkent district,Бухоро тумани,62.7,63.8,65.0,66.1,67.0,68.1,69.4,70.3,71.3,72.4,73.8,75.0
1706215,G‘ijduvon tumani,Гиждуванский район,Gijduvan district,Ғиждувон тумани,136.9,139.4,141.8,144.5,146.2,146.4,148.4,150.3,152.5,154.9,157.5,160.0
1706219,Kogon tumani,Каганский район,Kagan district,Когон тумани,34.2,35.0,35.9,36.6,37.6,38.5,39.4,40.1,40.8,41.6,42.5,43.4
1706230,Qorako‘l tumani,Каракульский район,Karakul district,Қоракўл тумани,75.0,76.3,77.6,78.8,80.3,81.7,82.9,83.5,84.7,85.7,86.8,87.9
1706232,Qorovulbozor tumani,Караулбазарский район,Qorovulbozor district,Қоровулбозор тумани,8.3,8.5,8.7,8.8,9.0,9.1,9.2,9.3,9.6,9.8,10.0,10.2
1706240,Peshku tumani,Пешкунский  район,Peshkun district,Пешку тумани,55.1,56.1,57.1,58.0,59.0,60.1,61.2,62.3,63.2,64.3,65.4,66.5
1706242,Romitan tumani,Ромитанский район,Romitan district,Ромитан тумани,62.9,64.0,65.1,66.1,67.4,68.5,69.6,71.0,72.2,73.4,74.6,75.6
1706246,Jondor tumani,Жондоpский район,Jondor  district,Жондор тумани,78.6,80.3,81.9,83.6,85.1,86.7,88.0,89.1,90.6,92.0,93.4,95.0
1706258,Shofirkon tumani,Шафирканский район,Shafirkan district,Шофиркон тумани,80.2,81.6,83.0,84.3,85.3,86.5,87.7,88.8,90.1,91.3,92.4,93.3
1708,Jizzax viloyati,Джизакская область,Jizzakh region,Жиззах вилояти,611.6,622.9,635.4,647.3,658.9,672.1,686.5,700.1,715.8,731.4,746.8,761.5
1708401,Jizzax shahri,Город Джизак,Jizzakh city,Жиззах шаҳри,81.8,82.6,83.7,84.8,85.8,87.2,88.7,90.3,92.5,95.9,98.0,100.2
1708201,Arnasoy tumani,Арнасайский район,Arnasay district,Aрнасой тумани,20.7,20.9,21.3,21.7,22.1,22.4,22.7,23.0,23.3,23.7,24.0,24.3
1708204,Baxmal tumani,Бахмальский район,Bakhmal district,Бахмал тумани,67.7,69.1,70.8,72.1,73.7,75.1,76.8,78.3,80.0,81.6,83.5,85.2
1708209,G‘allaorol tumani,Галляаральский район,Gallaaral district,Ғаллаорол тумани,76.7,78.0,79.4,80.7,82.1,83.6,85.3,87.1,89.0,90.7,92.7,94.4
1708212,Sharof Rashidov tumani,Шароф-Рашидовский  район,Sharof Rashidov  district,Шароф Рашидов тумани,93.7,96.1,98.3,100.7,102.9,106.0,109.1,111.9,115.0,117.1,120.0,122.7
1708215,Do‘stlik tumani,Дустликский район,Dustlik district,Дўстлик тумани,29.8,30.4,30.9,31.4,31.9,32.6,33.2,33.7,34.3,34.9,35.5,36.0
1708218,Zomin tumani,Зааминский район,Zomin district,Зомин тумани,79.7,81.0,82.6,84.0,77.9,79.4,81.2,82.6,84.8,86.6,88.6,90.9
1708220,Zarbdor tumani,Зарбдарский район,Zarbdar district,Зарбдор тумани,29.5,30.3,31.2,32.1,40.3,41.2,42.3,43.5,44.5,45.7,46.7,47.6
1708223,Mirzacho‘l tumani,Мирзачульский район,Mirzachul district,Мирзачўл тумани,22.8,23.3,23.9,24.4,25.1,25.7,26.3,26.9,27.2,27.7,28.1,28.6
1708225,Zafarobod tumani,Зафарабадский район,Zafarabad district,Зафаробод тумани,22.2,22.5,22.9,23.3,23.7,24.2,24.6,24.9,25.4,26.0,26.5,26.9
1708228,Paxtakor tumani,Пахтакорский район,Pakhtakor district,Пахтакор тумани,33.0,33.7,34.3,35.0,35.5,36.1,36.8,37.5,38.4,39.2,40.1,40.8
1708235,Forish tumani,Фаришский район,Farish district,Фориш тумани,41.3,42.0,42.9,43.7,44.3,44.9,45.6,46.2,47.0,47.7,48.4,49.0
1708237,Yangiobod tumani,Янгиободский район,Yangiabad district,Янгиобод тумани,12.7,13.0,13.2,13.4,13.6,13.7,13.9,14.2,14.4,14.6,14.7,14.9
1710,Qashqadaryo viloyati,Кашкадарьинская область,Kashkadarya region,Қашқадарё вилояти,1437.1,1467.4,1499.5,1530.0,1558.8,1589.2,1621.2,1647.9,1683.0,1718.6,1756.4,1793.9
1710401,Qarshi  shahri,Город Карши,Karshi city,Қарши шаҳри,127.8,129.2,130.6,132.4,134.1,135.4,137.4,139.2,141.5,144.3,147.8,150.4
1710405,Shahrisabz shahri,Город Шахрисабз,Shakhrisabz city,Шаҳрисабз шаҳри,0.0,0.0,0.0,0.0,66.4,67.6,68.6,69.1,70.2,71.2,72.5,73.9
1710240,Ko‘kdala tumani,Кукдалинский район,Kukdala district,Кўкдала тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,91.8,94.5
1710207,G‘uzor tumani,Гузарский район,Gissar district,Ғузор тумани,90.0,91.8,93.5,95.1,96.6,98.1,100.2,102.3,104.6,107.0,109.4,111.7
1710212,Dehqonobod tumani,Дехканабадский район,Dehkanabad district,Деҳқонобод тумани,64.2,65.6,67.1,68.5,70.0,71.4,72.8,74.1,75.5,76.9,78.3,79.7
1710220,Qamashi tumani,Камашинский район,Kamashi district,Қамаши тумани,117.9,120.7,123.6,126.2,128.5,131.0,133.6,135.4,138.2,141.0,144.0,147.1
1710224,Qarshi tumani,Каршинский район,Karshi district,Қарши тумани,108.2,110.9,113.9,116.5,119.0,121.8,124.5,127.1,130.5,133.5,136.7,140.2
1710229,Koson tumani,Касанский район,Kasan district,Косон тумани,124.0,126.6,129.2,131.8,134.7,137.4,140.4,143.2,146.6,150.0,153.5,156.9
1710232,Kitob tumani,Китабский район,Kitab district,Китоб тумани,115.3,117.9,120.5,123.1,125.0,127.5,129.6,131.0,133.3,135.7,138.4,141.1
1710233,Mirishkor tumani,Миришкорский район,Mirishkor district,Миришкор тумани,52.2,53.2,54.2,55.2,56.1,57.1,58.3,59.5,60.8,62.1,63.4,64.8
1710234,Muborak tumani,Мубарекский район,Mubarek district,Муборак тумани,38.6,39.1,39.7,40.6,41.2,42.0,42.9,43.7,44.6,45.4,46.2,47.0
1710235,Nishon tumani,Нишанский  район,Nishon district,Нишон тумани,65.4,67.0,68.8,70.5,72.4,74.2,76.1,77.6,79.6,81.4,83.2,85.2
1710237,Kasbi tumani,Касбинский район,Kasbi district,Касби тумани,85.7,87.6,89.3,90.8,92.3,94.0,95.9,97.9,99.9,102.1,104.3,106.6
1710242,Chiroqchi tumani,Чиракчинский район,Chirakchi district,Чироқчи тумани,173.3,178.1,183.1,188.0,192.3,197.0,201.8,206.3,212.1,128.8,132.3,135.4
1710245,Shahrisabz tumani,Шахрисабзский район,Shakhrisabz district,Шаҳрисабз тумани,159.9,162.7,166.2,168.9,105.5,107.3,109.1,110.0,111.9,113.6,115.4,117.4
1710250,Yakkabog‘ tumani,Яккабагский район,Yakkabag district,Яккабоғ тумани,114.6,117.0,119.8,122.4,124.7,127.4,130.0,131.5,133.7,136.4,139.2,142.0
