Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
1727404,Olmaliq shahri,Город Алмалык,Almalyk city,Олмалиқ шаҳри,62.1,62.9,63.9,64.8,65.7,66.6,67.6,68.8,69.7,73.0,75.4,76.6
1727407,Angren shahri,Город Ангрен,Angren city,Aнгрен шаҳри,88.0,89.2,90.6,91.9,92.2,93.4,94.6,96.0,87.2,89.3,91.2,92.8
1727413,Bekobod shahri,Город Бекабад,Bekabad city,Бекобод шаҳри,45.5,45.9,46.4,46.7,47.3,48.1,48.9,49.4,50.9,51.8,53.0,54.0
1727419,Chirchiq shahri,Город Чиpчик,Chirchik city,Чирчиқ шаҳри,76.2,76.7,77.3,78.2,78.7,79.2,79.9,82.7,83.6,85.2,87.6,88.9
1727415,Ohangaron shahri,Город Ахангаран,Akhangaran city,Оҳангарон шаҳри,0.0,0.0,0.0,0.0,18.4,18.6,19.0,19.6,20.1,20.5,20.8,21.1
1727424,Yangiyo‘lshahri,Город Янгиюль,Yangiyul city,Янгийўлшаҳри,0.0,0.0,0.0,0.0,30.5,30.6,31.0,31.7,41.0,42.1,43.8,44.7
1727206,Oqqo‘rg‘on tumani,Аккурганский район,Akkurgan district,Оққўрғон тумани,49.3,49.9,50.6,51.2,51.7,52.4,53.1,53.8,54.7,55.6,56.5,57.4
1727212,Ohangaron tumani,Ахангаранский район,Akhangaran district,Оҳангарон тумани,62.1,62.9,63.4,63.8,46.1,46.7,47.3,47.9,53.0,54.1,55.1,55.9
1727220,Bekobod tumani,Бекабадский район,Bekabad district,Бекобод тумани,71.5,72.7,73.7,74.8,75.6,76.6,77.8,78.8,79.3,80.6,81.8,83.0
1727224,Bo‘stonliq tumani,Бостанлыкский район,Bostanlyk district,Бўстонлиқ тумани,80.1,80.6,81.2,81.5,82.2,82.8,83.5,84.7,85.4,86.7,87.4,87.9
1727228,Bo‘ka tumani,Букинский район,Buka district,Бўка тумани,57.8,58.3,58.9,59.6,60.2,61.1,61.9,62.9,64.1,65.3,66.1,67.2
1727233,Quyichirchiq tumani,Куйичирчикский район,Kuyichirchik district,Қуйичирчиқ тумани,49.4,49.8,50.4,51.0,51.4,52.1,52.9,54.0,54.8,55.9,56.8,57.6
1727237,Zangiota tumani,Зангиатинский район,Zangiata district,Зангиота тумани,173.1,175.0,177.2,179.2,93.2,94.0,95.2,93.9,79.6,80.1,82.1,84.5
1727239,Yuqorichirchiq tumani,Юкоричирчикский район,Yukorichirchik district,Юқоричирчиқ тумани,61.7,62.5,63.5,64.5,65.5,66.3,67.5,69.3,68.5,68.6,69.5,70.7
1727248,Qibray tumani,Кибрайский район,Kibray district,Қибрай тумани,93.4,94.3,95.3,96.7,97.7,99.0,100.5,101.4,86.8,86.6,87.9,89.5
1727249,Parkent tumani,Паркентский район,Parkent district,Паркент тумани,69.2,70.5,71.7,72.8,74.0,75.2,76.5,77.8,85.1,86.6,88.1,89.9
1727250,Piskent tumani,Пскентский район,Piskent district,Пискент тумани,47.2,47.5,47.8,48.1,48.5,49.0,49.7,50.3,50.9,50.0,49.8,50.7
1727253,O‘rtachirchiq tumani,Уртачирчикский район,Urtachirchik district,Ўртачирчиқ тумани,90.7,91.8,92.9,94.1,72.6,73.6,75.0,71.5,66.6,67.5,68.7,70.4
1727256,Chinoz tumani,Чиназский район,Chinaz district,Чиноз тумани,61.3,62.1,63.0,63.8,64.6,65.5,66.5,67.7,69.3,71.1,72.6,73.9
1727259,Yangiyo‘l tumani,Янгиюльский район,Yangiyul district,Янгийўл тумани,127.3,128.7,130.2,131.6,102.6,104.3,105.8,105.6,96.3,98.6,100.1,102.1
1727265,Toshkent tumani,Ташкентский район,Tashkent district,Тошкент тумани,0.0,0.0,0.0,0.0,86.8,87.7,89.0,90.4,92.4,94.9,97.7,100.5
1730,Farg‘ona  viloyati,Ферганская область,Fergana region,Фарғона вилояти,1685.0,1713.1,1742.5,1771.2,1797.8,1828.3,1861.7,1895.0,1931.8,1970.7,2012.0,2052.7
1730401,Farg‘ona shahri,Город Фергана,Fergana city,Фарғона шаҳри,133.9,135.5,136.9,138.6,140.6,143.4,146.2,148.6,151.5,159.5,163.3,166.7
1730405,Qo‘qon shahri,Город Коканд,Kokand city,Қўқон шаҳри,120.0,121.7,123.0,124.4,125.5,127.1,129.1,131.0,132.5,154.5,156.7,159.6
1730408,Quvasoy shahri,Город Кувасай,Kuvasay city,Қувасой шаҳри,42.0,42.7,43.5,44.2,44.8,45.6,46.3,47.2,48.2,49.3,50.4,51.4
1730412,Marg‘ilon shahri,Город Маpгилан,Margilan city,Марғилон шаҳри,107.7,109.4,110.9,112.3,113.9,115.1,117.1,119.0,120.7,122.5,125.7,127.8
1730203,Oltiariq tumani,Алтыарыкский район,Altyaryk district,Олтиариқ тумани,94.3,95.7,97.0,98.2,99.5,101.2,103.1,105.0,107.3,109.4,111.7,114.0
1730206,Qo‘shtepa tumani,Куштепинский район,Kushtepa district,Қўштепа тумани,82.9,84.3,85.9,87.4,88.6,90.3,92.0,94.0,96.4,99.0,101.2,103.9
1730209,Bog‘dod tumani,Багдадский район,Baghdad district,Боғдод тумани,95.5,97.3,99.5,101.7,103.5,105.6,107.8,110.0,112.1,114.3,116.7,119.2
1730212,Buvayda tumani,Бувайдинский район,Buvayda district,Бувайда тумани,99.5,101.2,103.3,105.3,107.0,108.8,110.9,113.0,115.5,118.1,120.8,123.5
1730215,Beshariq tumani,Бешарыкский район,Besharik district,Бешариқ тумани,101.2,102.8,104.7,106.5,108.1,110.0,112.1,113.8,115.7,117.6,119.7,121.8
1730218,Quva tumani,Кувинский район,Kuva district,Қува тумани,114.8,116.9,119.0,121.1,123.0,125.1,127.3,129.3,131.4,133.6,136.1,138.5
1730221,Uchko‘prik tumani,Учкуприкский район,Uchkuprik district,Учкўприк тумани,102.6,104.3,106.3,108.4,110.3,112.4,114.4,116.5,119.2,118.5,121.1,123.8
1730224,Rishton tumani,Риштанский район,Rishtan district,Риштон тумани,88.8,90.4,92.1,93.8,95.5,97.2,99.0,100.6,102.5,104.4,106.5,108.6
1730226,So‘x tumani,Сохский район,Sokh district,Сўх тумани,34.1,34.8,35.6,36.3,36.9,37.6,38.2,38.9,39.6,40.3,41.2,42.1
1730227,Toshloq tumani,Ташлакский район,Tashlak district,Тошлоқ тумани,88.1,89.7,91.5,93.3,95.0,96.8,98.6,100.6,102.7,104.9,106.5,108.6
1730230,O‘zbekiston tumani,Узбекистанский район,Uzbekistan district,Ўзбекистон тумани,106.2,108.3,110.4,112.2,113.9,115.8,118.0,120.1,122.1,114.2,116.9,119.2
1730233,Farg‘ona tumani,Ферганский район,Fergana district,Фарғона тумани,95.6,96.8,98.0,99.3,100.6,102.2,104.1,106.2,108.5,106.4,108.4,110.6
1730236,Dang‘ara tumani,Дангаринский район,Dangara district,Данғара тумани,77.5,78.9,80.3,81.7,82.8,84.1,85.8,87.5,89.7,85.5,87.7,89.6
1730238,Furqat tumani,Фуркатский район,Furkat district,Фурқат тумани,52.0,53.1,54.3,55.2,56.2,57.0,57.6,58.6,59.9,61.2,62.6,63.9
1730242,Yozyovon tumani,Язъяванский район,Yazyavan district,Ёзёвон тумани,48.3,49.3,50.3,51.3,52.1,53.0,54.1,55.1,56.3,57.5,58.8,59.9
1733,Xorazm viloyati,Хорезмская область,Khorezm region,Хоразм вилояти,843.8,859.2,874.5,889.1,903.0,918.0,933.1,946.5,961.7,978.4,996.7,1014.8
1733401,Urganch shahri,Город Ургенч,Urgench city,Урганч шаҳри,68.5,68.7,68.9,69.2,69.7,70.4,71.5,72.1,73.0,74.8,76.4,77.8
1733406,Xiva shahri,Город Хива,Khiva city,Хива шаҳри,0.0,0.0,0.0,0.0,45.0,45.8,46.5,47.1,48.1,48.9,49.8,50.4
1733204,Bog‘ot tumani,Багатский район,Bagat district,Боғот тумани,74.6,76.0,77.6,78.8,80.1,81.4,82.8,84.2,85.6,87.1,88.7,90.4
1733208,Gurlan tumani,Гурленский район,Gurlan district,Гурлан тумани,66.3,67.5,68.8,69.7,70.7,71.9,72.9,73.8,75.0,76.2,77.5,78.8
1733212,Qo‘shko‘pir tumani,Кошкупырский район,Kushkupyr district,Қўшкўпир тумани,76.1,77.8,79.4,80.9,82.1,83.6,85.1,86.1,87.3,88.7,90.4,91.9
1733217,Urganch tumani,Ургенчский район,Urgench district,Урганч тумани,88.2,90.1,91.9,93.8,95.8,97.7,99.4,101.4,103.5,105.4,107.5,109.9
1733220,Xazorasp tumani,Хазараспский район,Khazarasp district,Хазорасп тумани,112.6,114.7,116.7,118.7,120.4,122.4,124.4,98.6,99.5,101.2,103.0,105.0
1733221,Tuproqqal’a tumani,Тупроккалинский район,Tuprakkala district,Тупроққалъа тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.6,28.7,29.4,30.0,30.7
1733223,Xonqa tumani,Ханкинский район,Khanka district,Хонқа тумани,82.9,84.5,85.9,87.7,89.1,90.5,91.9,93.2,94.9,96.4,98.1,99.7
1733226,Xiva tumani,Хивинский район,Khiva district,Хива тумани,107.7,109.9,112.0,114.0,70.6,71.9,73.0,74.3,75.3,76.4,77.7,79.4
1733230,Shovot tumani,Шаватский район,Shavat district,Шовот тумани,75.8,77.4,79.0,80.4,81.9,83.3,84.8,85.9,87.2,88.6,90.3,91.8
1733233,Yangiariq tumani,Янгиарыкский район,Yangiaryk district,Янгиариқ тумани,51.5,52.4,53.4,54.3,55.3,56.2,57.2,58.1,58.9,59.9,61.1,62.1
1733236,Yangibozor tumani,Янгибазарский район,Yangibazar district,Янгибозор тумани,39.6,40.2,40.9,41.6,42.3,42.9,43.6,44.1,44.7,45.4,46.2,46.9
1726,Toshkent shahri,город Ташкент,Tashkent city,Тошкент шаҳри,1207.1,1216.8,1227.6,1242.5,1262.4,1284.7,1315.2,1375.7,1458.4,1506.7,1548.7,1584.9
1726262,Uchtepa tumani,Учтепинский район,Uchtepa district,Учтепа тумани,127.6,128.6,129.7,130.8,133.0,134.5,137.8,140.4,144.2,147.9,150.6,151.8
1726264,Bektemir tumani,Бектемирский район,Bektemir district,Бектемир тумани,16.0,16.4,16.6,17.1,17.4,17.9,18.2,16.5,25.2,28.8,31.2,33.6
1726266,Yunusobod tumani,Юнусабадский район,Yunusabad district,Юнусобод тумани,160.9,162.0,163.4,165.4,168.0,170.9,175.3,181.4,185.0,189.0,193.5,198.1
1726269,Mirzo Ulug‘bek tumani,Мирзо Улугбекский район,Mirzo Ulugbek district,Мирзо Улуғбек тумани,131.3,131.7,132.2,133.3,134.7,136.3,138.5,143.1,155.8,162.1,166.3,169.2
1726273,Mirobod tumani,Мирабадский район,Mirabad district,Миробод тумани,66.6,67.0,67.4,68.2,69.3,70.6,71.5,73.6,75.1,76.9,78.2,79.2
1726277,Shayxontoxur tumani,Шайхантахурский район,Shaykhantakhur district,Шайхонтохур тумани,157.8,160.2,162.6,165.4,167.9,171.8,173.5,178.1,181.2,184.3,186.6,188.7
1726280,Olmazor tumani,Алмазарский район,Almazar district,Олмазор тумани,171.9,174.2,176.6,179.4,182.3,185.2,188.4,194.0,198.3,203.1,207.8,211.5
1726283,Sirg‘ali tumani,Сергелийский район,Sergeli district,Сирғали тумани,85.4,86.2,87.5,89.0,91.3,94.4,102.0,53.8,69.5,81.9,85.0,87.6
1726287,Yakkasaroy tumani,Яккасарайский район,Yakkasaray district,Яккасарой тумани,58.9,59.2,59.3,59.5,60.4,61.1,60.9,62.1,63.2,64.6,67.9,71.0
1726290,Yashnobod tumani,Яшнободский район,Yashnabad district,Яшнобод тумани,112.8,112.9,113.4,114.3,116.4,118.6,123.6,132.1,143.4,147.7,153.0,158.0
1726292,Yangihayot tumani,Янгихаётский район,Yangikhayot district,Янгиҳаёт тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.7,82.9,83.2,89.8,96.4
1726294,Chilonzor tumani,Чиланзарский район,Chilanzar district,Чилонзор тумани,117.9,118.4,118.9,120.1,121.7,123.4,125.5,131.9,134.6,137.2,138.8,139.8
