Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,634810.0,622835.0,625106.0,679519.0,718036.0,734141.0,726170.0,715519.0,768520.0,814960.0,841817.0,905211.0,932217.0,961962.0,926422.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,37942.0,35840.0,38207.0,39100.0,40883.0,41345.0,39427.0,37754.0,40108.0,41137.0,39286.0,40272.0,42835.0,44021.0,41641.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,6220.0,6157.0,5827.0,6094.0,6332.0,6466.0,5802.0,5499.0,5651.0,5801.0,5947.0,6240.0,6884.0,6957.0,6721.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,3576.0,3406.0,3938.0,3894.0,4506.0,4713.0,4236.0,4093.0,4750.0,5057.0,4649.0,4938.0,5257.0,5103.0,4880.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,3918.0,3808.0,4119.0,4152.0,4569.0,4523.0,4445.0,4338.0,4765.0,4865.0,4528.0,4133.0,4962.0,5211.0,4986.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,371.0,347.0,383.0,370.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,1142.0,1011.0,1142.0,1038.0,1165.0,1109.0,1113.0,966.0,1021.0,950.0,1037.0,1062.0,971.0,997.0,974.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,1873.0,1702.0,1934.0,1990.0,1921.0,1937.0,1845.0,1660.0,1629.0,1771.0,1514.0,1485.0,1373.0,1434.0,1452.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,2825.0,2621.0,2744.0,2735.0,3006.0,2678.0,2606.0,2558.0,2561.0,2719.0,2578.0,2738.0,2862.0,2872.0,2629.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,953.0,853.0,968.0,1062.0,1134.0,1097.0,1087.0,1016.0,1014.0,1119.0,1085.0,1133.0,1091.0,1155.0,1079.0
