Code,Klassifikator,Klassifikator_ru,Klassifikator_en,Klassifikator_uzc,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
1700,O‘zbekiston Respublikasi,Республика Узбекистан,Republic of Uzbekistan,Ўзбекистон Республикаси,144162.0,143250.0,144174.0,140958.0,136707.0,131216.0,125820.0,138681.0,145756.0,147501.0,141605.0,149173.0,149096.0,139741.0,136713.0
1735,Qoraqalpog‘iston Respublikasi,Республика Каракалпакстан,Republic of Karakalpakstan,Қорақалпоғистон Республикаси,7756.0,7982.0,7431.0,7490.0,6630.0,6236.0,5641.0,6234.0,6643.0,6748.0,5327.0,7535.0,6906.0,6160.0,6078.0
1735401,Nukus shahri,Город Нукус,Nukus city,Нукус шаҳри,1990.0,2269.0,2095.0,2245.0,1950.0,1878.0,1720.0,1904.0,2143.0,2507.0,1748.0,2740.0,2354.0,2210.0,2218.0
1735204,Amudaryo tumani,Амударьинский район,Amudarya district,Aмударё тумани,461.0,483.0,457.0,458.0,418.0,364.0,363.0,354.0,429.0,396.0,340.0,467.0,404.0,426.0,410.0
1735207,Beruniy tumani,Берунийский район,Beruniy  district,Беруний тумани,546.0,585.0,599.0,598.0,566.0,546.0,493.0,593.0,576.0,554.0,503.0,554.0,619.0,506.0,514.0
1735209,Bo‘zatov tumani,Бозатауский район,Bozatau district,Бўзатов тумани,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,33.0,31.0,21.0,33.0
1735211,Qorao‘zak tumani,Караузякский район,Karauzak district,Қораўзак тумани,194.0,186.0,154.0,146.0,138.0,118.0,128.0,114.0,111.0,103.0,116.0,104.0,113.0,88.0,83.0
1735212,Kegeyli tumani,Кегейлийский район,Kegeyli district,Кегейли тумани,339.0,336.0,359.0,339.0,298.0,257.0,218.0,255.0,250.0,241.0,214.0,265.0,197.0,177.0,205.0
1735215,Qo‘ng‘irot tumani,Кунградский район,Kungrad district,Қўнғирот тумани,885.0,843.0,742.0,671.0,685.0,586.0,515.0,560.0,553.0,543.0,381.0,701.0,759.0,595.0,515.0
1735218,Qanliko‘l tumani,Канлыкульский район,Kanlykul district,Қанликўл тумани,135.0,139.0,113.0,134.0,97.0,133.0,85.0,99.0,91.0,105.0,110.0,129.0,100.0,97.0,88.0
1735222,Mo‘ynoq tumani,Муйнакский район,Muynak district,Мўйноқ тумани,155.0,140.0,118.0,114.0,118.0,111.0,89.0,79.0,80.0,82.0,81.0,129.0,93.0,64.0,86.0
1735225,Nukus tumani,Нукусский район,Nukus district,Нукус тумани,104.0,114.0,92.0,96.0,72.0,68.0,54.0,68.0,72.0,77.0,56.0,113.0,71.0,61.0,75.0
1735228,Taxiatosh tumani,Тахиаташский район,Takhiatash district,Тахиатош тумани,544.0,541.0,449.0,378.0,0.0,0.0,0.0,0.0,281.0,294.0,238.0,387.0,372.0,300.0,267.0
1735230,Taxtako‘pir tumani,Тахтакупырский район,Takhtakupyr district,Тахтакўпир тумани,195.0,175.0,160.0,145.0,168.0,147.0,95.0,109.0,135.0,120.0,100.0,116.0,95.0,100.0,103.0
1735233,To‘rtko‘l tumani,Турткульский район,Turtkul district,Тўрткўл тумани,549.0,615.0,597.0,565.0,491.0,465.0,509.0,622.0,610.0,602.0,464.0,514.0,448.0,469.0,418.0
1735236,Xo‘jayli tumani,Ходжейлийский район,Khojeyli district,Хўжайли тумани,786.0,701.0,630.0,730.0,897.0,899.0,796.0,798.0,597.0,487.0,394.0,589.0,557.0,517.0,460.0
1735240,Chimboy tumani,Чимбайский район,Chimbay district,Чимбой тумани,606.0,582.0,571.0,546.0,464.0,412.0,319.0,363.0,472.0,360.0,331.0,416.0,389.0,296.0,340.0
