geo_code,year,total_birth_yearly,birth_girls,birth_boys,share_girls,share_boys,sex_diff
1714,2011,52203.0,25011.0,27192.0,47.91103959542555,52.08896040457445,0.0
1714,2012,50603.0,24065.0,26538.0,47.55646898405233,52.44353101594768,0.0
1714,2016,62164.0,29615.0,32549.0,47.640113248825685,52.359886751174315,0.0
1714,2020,74720.0,35743.0,38977.0,47.83592077087794,52.16407922912205,0.0
1714401,2010,10419.0,4966.0,5453.0,47.66292350513485,52.33707649486515,0.0
1714401,2013,11530.0,5514.0,6016.0,47.82307025151778,52.176929748482216,0.0
1714401,2014,12777.0,6127.0,6650.0,47.95335368239806,52.04664631760194,0.0
1714401,2015,12592.0,5921.0,6671.0,47.02191867852605,52.978081321473944,0.0
1714401,2017,14709.0,6974.0,7735.0,47.41314841253654,52.58685158746346,0.0
1714401,2018,16227.0,7690.0,8537.0,47.3901522154434,52.60984778455661,0.0
1714401,2019,17579.0,8359.0,9220.0,47.55105523636157,52.44894476363843,0.0
1714401,2021,20211.0,9742.0,10469.0,48.201474444609374,51.798525555390626,0.0
1714401,2022,20765.0,9980.0,10785.0,48.0616421863713,51.9383578136287,0.0
1714401,2023,21738.0,10478.0,11260.0,48.201306467936334,51.798693532063666,0.0
1714401,2024,20317.0,9848.0,10469.0,48.47172318747847,51.52827681252153,0.0
1714204,2010,2063.0,965.0,1098.0,46.77653902084343,53.22346097915657,0.0
1714204,2013,2427.0,1154.0,1273.0,47.54841367943964,52.45158632056036,0.0
1714204,2014,2686.0,1256.0,1430.0,46.76098287416232,53.23901712583768,0.0
1714204,2015,2801.0,1370.0,1431.0,48.91110317743663,51.08889682256337,0.0
1714204,2017,2724.0,1286.0,1438.0,47.20998531571219,52.79001468428781,0.0
1714204,2018,2904.0,1428.0,1476.0,49.17355371900827,50.82644628099173,0.0
1714204,2019,3056.0,1418.0,1638.0,46.40052356020942,53.59947643979057,0.0
1714204,2021,3506.0,1675.0,1831.0,47.77524244152881,52.22475755847119,0.0
1714204,2022,3455.0,1639.0,1816.0,47.43849493487699,52.561505065123015,0.0
1714204,2023,3647.0,1755.0,1892.0,48.12174389909515,51.87825610090485,0.0
1714204,2024,3427.0,1618.0,1809.0,47.213306098628536,52.786693901371464,0.0
1714207,2011,4186.0,2062.0,2124.0,49.259436215957955,50.740563784042045,0.0
1714207,2012,3959.0,1935.0,2024.0,48.87597878252084,51.12402121747917,0.0
1714207,2016,4608.0,2234.0,2374.0,48.48090277777778,51.51909722222222,0.0
1714207,2020,5563.0,2710.0,2853.0,48.71472227215531,51.285277727844694,0.0
1714212,2011,4729.0,2247.0,2482.0,47.515330936773104,52.484669063226896,0.0
1714212,2012,4443.0,2123.0,2320.0,47.78302948458249,52.216970515417515,0.0
1714212,2016,4982.0,2403.0,2579.0,48.23364110798876,51.76635889201124,0.0
1714212,2020,4667.0,2249.0,2418.0,48.18941504178273,51.81058495821726,0.0
1714216,2010,2915.0,1431.0,1484.0,49.09090909090909,50.90909090909091,0.0
1714216,2013,3331.0,1539.0,1792.0,46.202341639147406,53.797658360852594,0.0
1714216,2014,3545.0,1710.0,1835.0,48.23695345557123,51.76304654442877,0.0
1714216,2015,3433.0,1599.0,1834.0,46.57733760559278,53.422662394407226,0.0
1714216,2017,3591.0,1738.0,1853.0,48.39877471456418,51.60122528543582,0.0
1714216,2018,3712.0,1770.0,1942.0,47.68318965517241,52.316810344827594,0.0
1714216,2019,3903.0,1882.0,2021.0,48.219318472969505,51.780681527030495,0.0
1714216,2021,4190.0,1999.0,2191.0,47.70883054892601,52.29116945107398,0.0
1714216,2022,4305.0,2119.0,2186.0,49.221835075493615,50.778164924506385,0.0
1714216,2023,4440.0,2098.0,2342.0,47.252252252252255,52.74774774774775,0.0
1714216,2024,4353.0,2081.0,2272.0,47.806110728233406,52.1938892717666,0.0
1714219,2011,4028.0,1939.0,2089.0,48.13803376365442,51.86196623634558,0.0
1714219,2012,3810.0,1771.0,2039.0,46.482939632545936,53.51706036745407,0.0
1714219,2016,4642.0,2182.0,2460.0,47.005601034037056,52.99439896596295,0.0
1714219,2020,5199.0,2466.0,2733.0,47.43219849971148,52.56780150028851,0.0
1714224,2011,4252.0,1949.0,2303.0,45.83725305738476,54.162746942615236,0.0
1714224,2012,4122.0,1998.0,2124.0,48.47161572052402,51.52838427947598,0.0
1714224,2016,5290.0,2543.0,2747.0,48.071833648393195,51.928166351606805,0.0
1714224,2020,6084.0,2932.0,3152.0,48.19197896120973,51.80802103879027,0.0
1714229,2010,4258.0,2050.0,2208.0,48.14466885861907,51.85533114138094,0.0
1714229,2013,4896.0,2403.0,2493.0,49.080882352941174,50.91911764705882,0.0
1714229,2014,5659.0,2698.0,2961.0,47.67626789185368,52.32373210814632,0.0
1714229,2015,5363.0,2564.0,2799.0,47.809062092112626,52.19093790788738,0.0
1714229,2017,4791.0,2244.0,2547.0,46.83782091421415,53.162179085785844,0.0
1714229,2018,5219.0,2499.0,2720.0,47.88273615635179,52.11726384364821,0.0
1714229,2019,5723.0,2800.0,2923.0,48.92538878210729,51.074611217892716,0.0
1714229,2021,6459.0,3157.0,3302.0,48.877535222170614,51.12246477782939,0.0
1714229,2022,6353.0,3104.0,3249.0,48.85880686289942,51.14119313710058,0.0
1714229,2023,6320.0,3052.0,3268.0,48.29113924050633,51.70886075949367,0.0
1714229,2024,6451.0,3178.0,3273.0,49.263680049604716,50.73631995039529,0.0
1714234,2011,3116.0,1496.0,1620.0,48.010269576379976,51.98973042362003,0.0
1714234,2012,2877.0,1390.0,1487.0,48.314216197427875,51.685783802572125,0.0
1714234,2016,3604.0,1722.0,1882.0,47.78024417314096,52.21975582685905,0.0
1714234,2020,4308.0,2076.0,2232.0,48.18941504178273,51.81058495821726,0.0
1714236,2011,3651.0,1789.0,1862.0,49.000273897562316,50.99972610243769,0.0
1714236,2012,3535.0,1689.0,1846.0,47.77934936350778,52.220650636492216,0.0
1714236,2016,4235.0,2039.0,2196.0,48.146399055489965,51.853600944510035,0.0
1714236,2020,4881.0,2357.0,2524.0,48.289284982585535,51.710715017414465,0.0
1714237,2011,4453.0,2105.0,2348.0,47.27150235796093,52.72849764203907,0.0
1714237,2012,4328.0,2028.0,2300.0,46.85767097966728,53.14232902033271,0.0
1714237,2016,5559.0,2595.0,2964.0,46.6810577441986,53.3189422558014,0.0
1714237,2020,6468.0,3072.0,3396.0,47.49536178107607,52.50463821892394,0.0
