geo_code,geo_name,geo_level,year,population_total,birth_total,death_total,in_migration,out_migration,marriages_total,divorces_total,natural_increase,net_migration,cbr_per_1000,cdr_per_1000,net_mig_per_1000
1714224,To'raqo'rg'on tumani,tuman,2013,194.7,4478.0,889.0,0.0,16.0,2233.0,127.0,3589.0,-16.0,22999.4863893169,4565.998972778634,-82.17770929635337
1714229,Uychi tumani,tuman,2013,202.9,4896.0,992.0,5.0,1.0,2173.0,164.0,3904.0,4.0,24130.113356333168,4889.107934943322,19.714144898965007
1714234,Uchqo'rg'on tumani,tuman,2013,151.4,3424.0,817.0,0.0,17.0,1609.0,109.0,2607.0,-17.0,22615.587846763538,5396.301188903567,-112.28533685601057
1714,Namangan viloyati,viloyat,2012,2420.6,50603.0,11551.0,26.0,273.0,24142.0,1508.0,39052.0,-247.0,20905.147484094854,4771.957365942329,-102.04081632653062
1714207,Kosonsoy tumani,tuman,2012,177.9,3959.0,801.0,2.0,0.0,1853.0,120.0,3158.0,2.0,22254.07532321529,4502.529510961213,11.242270938729622
1714212,Namangan tumani,tuman,2012,204.1,4443.0,960.0,0.0,0.0,1952.0,106.0,3483.0,0.0,21768.7408133268,4703.576678098972,0.0
1714216,Norin tumani,tuman,2012,142.5,2914.0,794.0,0.0,0.0,1572.0,91.0,2120.0,0.0,20449.122807017546,5571.929824561403,0.0
1714237,Chust tumani,tuman,2012,230.2,4328.0,1054.0,2.0,0.0,2476.0,157.0,3274.0,2.0,18801.042571676804,4578.627280625543,8.688097306689835
1714,Namangan viloyati,viloyat,2011,2379.5,52203.0,11174.0,57.0,252.0,23090.0,1626.0,41029.0,-195.0,21938.642571968903,4695.944526160958,-81.94998949359109
1714207,Kosonsoy tumani,tuman,2011,174.4,4186.0,758.0,1.0,0.0,1634.0,102.0,3428.0,1.0,24002.29357798165,4346.3302752293575,5.7339449541284395
1714212,Namangan tumani,tuman,2011,200.2,4729.0,867.0,0.0,0.0,1911.0,157.0,3862.0,0.0,23621.378621378622,4330.669330669331,0.0
1714216,Norin tumani,tuman,2011,140.4,2792.0,667.0,0.0,0.0,1375.0,96.0,2125.0,0.0,19886.039886039885,4750.71225071225,0.0
1714237,Chust tumani,tuman,2011,226.5,4453.0,971.0,5.0,0.0,2228.0,155.0,3482.0,5.0,19660.044150110378,4286.9757174392935,22.07505518763797
1714219,Pop tumani,tuman,2010,176.2,3976.0,934.0,0.0,0.0,1615.0,91.0,3042.0,0.0,22565.26674233825,5300.794551645858,0.0
1714224,To'raqo'rg'on tumani,tuman,2010,180.1,3812.0,799.0,1.0,0.0,1913.0,115.0,3013.0,1.0,21166.018878400886,4436.424208772904,5.55247084952804
1714229,Uychi tumani,tuman,2010,189.1,4258.0,876.0,0.0,0.0,2170.0,151.0,3382.0,0.0,22517.18667371761,4632.469592808038,0.0
1714234,Uchqo'rg'on tumani,tuman,2010,142.4,3113.0,709.0,0.0,0.0,1471.0,114.0,2404.0,0.0,21860.955056179777,4978.932584269663,0.0
